,Brand,Model,Version,Price,Modèle,Main,Kilométrage,Carburant,Transmision,Puissance fiscale,Couleur extérieure,Etat du véhicule,Climatisation,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Caméra de recul,Bluetooth,Jantes aluminium,Volant cuir,Feux de jour,Barres de toit,Toit,Airbags,ABS,ESP,Antipatinage,Architecture,Cylindrée,Conso. ville,Conso. route,Vitesse maxi.,Volume du réservoir,Puissance fiscale-binned
34,MERCEDES,Classe A 2017,180 d Style,225000.0,2017.0,Seconde,77000.0,Diesel,Automatique,6,Noir,Comme neuve,auto.,Electrique AV/AR,non,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
35,MERCEDES,Classe C 2012,350 BlueEfficiency Elegance,170000.0,2012.0,Seconde,125747.0,Diesel,Automatique,12,Noir,Très bon,auto.,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui,non,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
36,MERCEDES,Classe C Coupé 2018,220 d DCT AMG line +,500000.0,2018.0,Première,57000.0,Diesel,Automatique,9,Blanc,Comme neuve,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
37,MERCEDES,Classe C 2008,350 CDI Elegance,170500.0,2008.0,Seconde,140000.0,Diesel,Manuelle,12,Noir,Excellent,auto.,Electrique AV/AR,Tous les passagers,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,oui,oui,non,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
38,MERCEDES,Classe C 2017,220 d Avantgarde,330000.0,2017.0,Première,80497.0,Diesel,Automatique,8,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
39,MERCEDES,Classe E 2007,280 CDI Classic,102000.0,2007.0,Seconde,349000.0,Diesel,Automatique,13,Bleu foncé,Excellent,auto.,Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
40,MERCEDES,Classe C 2010,220 CDI,180000.0,2010.0,Seconde,200000.0,Diesel,Automatique,9,Blanc,Très bon,auto.,Electrique AV/AR,non,non,non,oui,non,oui,oui,non,non,non,non,non,non,oui,oui,non,non,non,Rigide,oui,oui,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
41,MERCEDES,Classe C 2018,200 d Avantgarde,170000.0,2018.0,Seconde,140000.0,Diesel,Automatique,8,Noir,Comme neuve,auto.,Electrique AV/AR,non,non,non,oui,oui,oui,oui,non,oui,non,non,non,non,oui,oui,non,oui,oui,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
42,MERCEDES,GLK 2011,200 CDI,185000.0,2011.0,Seconde,185000.0,Diesel,Automatique,8,Blanc,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,non,oui,non,oui,non,non,oui,oui,non,non,oui,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
43,MERCEDES,Classe A 2014,160 CDI BlueEfficiency,190000.0,2014.0,Seconde,140000.0,Diesel,Manuelle,6,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,non,oui,oui,oui,oui,non,oui,non,non,non,oui,oui,oui,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
44,MERCEDES,Classe C 2003,220 CDI,95000.0,2003.0,Seconde,460000.0,Diesel,Automatique,9,Gris clair,Excellent,manuelle,-,non,oui,non,oui,non,non,oui,non,oui,non,non,non,oui,oui,oui,non,oui,non,Rigide,oui,oui,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
45,MERCEDES,Classe C Coupé 2016,250 d DCT AMG line +,400000.0,2016.0,Seconde,68000.0,Diesel,Automatique,9,Gris,Excellent,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
46,MERCEDES,Classe C 2017,220 d AMG line,365000.0,2017.0,Première,108000.0,Diesel,Automatique,8,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
47,MERCEDES,Classe C 2006,220 CDI,85000.0,2006.0,Première,350000.0,Diesel,Manuelle,9,Gris clair,Très bon,auto.,Electrique AV/AR,Conducteur et Passager,non,non,oui,non,non,oui,non,oui,non,non,non,non,non,oui,non,non,non,Rigide,oui,oui,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
48,MERCEDES,Citan 2012,Autre version,230000.0,2012.0,Seconde,140000.0,Diesel,Manuelle,9,Bleu,Excellent,manuelle,Electrique AV,non,non,non,non,non,oui,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,oui,non,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
49,MERCEDES,Classe C 2007,220 CDI,135000.0,2007.0,Seconde,157000.0,Diesel,Manuelle,9,Bleu foncé,Excellent,auto.,Electrique AV/AR,non,oui,non,non,non,oui,non,oui,non,non,oui,non,non,oui,oui,non,non,non,Rigide,oui,oui,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
50,MERCEDES,Classe C 2009,200 d Avantgarde +,140000.0,2009.0,Seconde,2260000.0,Diesel,Automatique,6,Blanc,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
51,MERCEDES,Classe A 2013,220 d DCT AMG line,120000.0,2013.0,Seconde,17978.0,Diesel,Automatique,9,Gris,Comme neuve,auto.,Electrique AV/AR,Conducteur,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
52,MERCEDES,Classe E Coupé 2011,220 d DCT Avantgarde,190000.0,2011.0,Première,146000.0,Diesel,Manuelle,8,Noir,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
53,MERCEDES,Classe C 2018,220 d AMG line,580000.0,2018.0,Première,21000.0,Diesel,Automatique,8,Gris clair,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
54,MERCEDES,CLA Coupé 2018,220 d Style,300000.0,2018.0,Première,72000.0,Diesel,Manuelle,9,Blanc,Excellent,auto.,Electrique AV,Conducteur,oui,oui,oui,oui,non,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
55,MERCEDES,Classe C 2007,200 d,131000.0,2007.0,Seconde,260000.0,Diesel,Automatique,9,Noir,Excellent,manuelle,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
56,MERCEDES,Classe B 2006,Autre version,85000.0,2006.0,Seconde,121500.0,Essence,Manuelle,9,Noir,Très bon,manuelle,Electrique AV/AR,non,non,non,non,non,non,oui,non,oui,non,non,non,non,oui,oui,non,oui,non,Rigide,oui,non,oui,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
57,MERCEDES,Classe C Coupé 2018,220 d DCT AMG line +,520000.0,2018.0,Seconde,51200.0,Diesel,Automatique,9,Blanc,Comme neuve,auto. Bi-zone,Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,Panoramique ouvrant,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
58,MERCEDES,Classe E 2016,220 d Avantgarde,390000.0,2016.0,Première,26000.0,Diesel,Automatique,8,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
59,MERCEDES,Classe C 1996,200 d,73000.0,1996.0,Première,229000.0,Diesel,Manuelle,9,Autre couleur,Très bon,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
60,MERCEDES,190 1993,2.0 D,45000.0,1993.0,Seconde,440000.0,Diesel,Automatique,8,Autre couleur,Très bon,non,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,non,non,Ouvrant,oui,oui,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
61,MERCEDES,190 1991,2.5 D,65000.0,1991.0,Seconde,350000.0,Diesel,Manuelle,8,Beige,Très bon,non,Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Rigide,non,non,non,non,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
62,MERCEDES,Classe C 2013,220 d,207000.0,2013.0,Seconde,209000.0,Diesel,Automatique,9,Noir,Comme neuve,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
63,MERCEDES,Classe E 2013,250 CDI BlueEfficiency,250000.0,2013.0,Première,216000.0,Diesel,Automatique,8,Bleu foncé,Excellent,auto. Bi-zone,Electrique AV/AR,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui,oui,non,Rigide,oui,oui,oui,oui,,39.78637633136094,56806.508875739644,41851.47928994083,208.5467289719626,57.66222760290557,Low
